                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1976,                 1.9669,                  1.358,                0.84889,                0.83333,                0.92409,                0.72202,                0.71142,                  1.399,                 1.1055,             0.00066138,             0.00066138,             0.00066138
                      2,                 1.2749,                 1.7082,                  1.361,                0.12555,                0.71212,                0.10743,                0.06782,                 1.1289,                 4.4481,                 1.4983,              0.0013017,              0.0013017,              0.0013017
                      3,                   1.31,                 1.6749,                 1.3933,                 0.8231,                0.75758,                0.85927,                 0.6208,                 0.9701,                  1.585,                 1.2858,              0.0019157,              0.0019157,              0.0019157
                      4,                 1.3001,                 1.5599,                 1.3617,                0.82935,                0.66276,                0.78823,                0.61136,                0.86251,                 1.4322,                 1.2006,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2217,                 1.3443,                 1.3163,                0.90532,                0.80303,                0.92748,                0.63712,                0.94679,                 1.2042,                 1.3415,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.1876,                 1.3177,                 1.2977,                0.93734,                0.80303,                0.88945,                0.65945,                 0.8988,                 1.1115,                 1.2119,               0.001802,               0.001802,               0.001802
                      7,                 1.1635,                 1.2516,                 1.2963,                0.80193,                0.84848,                0.88826,                0.72085,                0.77252,                 1.0585,                 1.2145,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.1712,                 1.2298,                 1.3179,                0.86184,                0.87879,                 0.9107,                0.72538,                0.80924,                 1.0052,                 1.2017,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.1128,                 1.0894,                 1.2485,                0.84669,                0.84848,                0.87709,                0.66871,                0.83168,                 1.1034,                 1.1672,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.1126,                 1.1104,                 1.2385,                0.96665,                0.95455,                0.96581,                0.80841,                0.65764,                0.71621,                 1.0483,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.0493,                 1.0814,                 1.2285,                0.93443,                0.86364,                0.92894,                0.75917,                0.68925,                0.90014,                 1.0669,               0.001604,               0.001604,               0.001604
                     12,                 1.0559,                 1.0253,                 1.2053,                0.95234,                0.93939,                0.97688,                0.79962,                0.72319,                0.68051,                 1.0601,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.0501,                  0.983,                 1.2164,                0.71475,                0.72139,                0.73126,                0.49608,                0.93832,                  1.353,                 1.3954,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.0595,                0.92911,                 1.2133,                0.92803,                0.92424,                0.96915,                0.80267,                0.70765,                0.69108,                 1.0923,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.0394,                0.89901,                 1.2077,                0.93932,                 0.9382,                0.97432,                0.81832,                0.62528,                0.64273,                 1.0046,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.0303,                0.86114,                 1.1873,                0.91486,                0.93939,                0.95993,                0.82859,                0.59569,                0.62071,                 0.9835,               0.001406,               0.001406,               0.001406
                     17,                 1.0135,                0.84985,                 1.1736,                0.87946,                0.88443,                0.94653,                0.78228,                0.65459,                0.70932,                  1.037,              0.0013664,              0.0013664,              0.0013664
                     18,                0.96145,                  0.826,                 1.1665,                0.96519,                0.83333,                0.93833,                0.78915,                0.65467,                0.78383,                  1.023,              0.0013268,              0.0013268,              0.0013268
                     19,                0.96447,                0.81819,                 1.1698,                  0.952,                0.90155,                0.97309,                0.83604,                0.62449,                0.65037,                 1.0308,              0.0012872,              0.0012872,              0.0012872
                     20,                0.96561,                0.79997,                 1.1738,                0.92034,                0.87531,                0.93913,                 0.7991,                0.58969,                0.66093,                 1.0351,              0.0012476,              0.0012476,              0.0012476
                     21,                 0.9945,                0.83234,                 1.1584,                0.90096,                 0.9697,                 0.9588,                0.80988,                0.58954,                0.52946,                0.96471,               0.001208,               0.001208,               0.001208
                     22,                0.92289,                0.76483,                 1.1302,                0.88217,                0.90909,                 0.9531,                 0.7975,                0.60426,                0.61803,                 1.0574,              0.0011684,              0.0011684,              0.0011684
                     23,                0.92633,                0.76517,                 1.1451,                 0.9864,                0.93939,                 0.9843,                0.84373,                0.55401,                0.50719,                0.96527,              0.0011288,              0.0011288,              0.0011288
                     24,                0.96619,                0.81271,                 1.1493,                0.96962,                 0.9673,                0.98295,                0.86227,                0.50285,                0.46421,                0.92803,              0.0010892,              0.0010892,              0.0010892
                     25,                0.90081,                0.71807,                 1.1235,                0.95432,                0.93939,                0.98638,                0.86264,                0.51973,                0.51873,                0.93744,              0.0010496,              0.0010496,              0.0010496
                     26,                0.94183,                0.72999,                 1.1329,                0.93327,                0.93939,                0.97125,                0.83734,                0.57097,                0.58682,                0.97956,                0.00101,                0.00101,                0.00101
                     27,                0.90655,                0.70464,                 1.1183,                0.95219,                0.90542,                0.97591,                0.85713,                0.51191,                0.51047,                0.93455,              0.0009704,              0.0009704,              0.0009704
